fc,ds,dimension,promise,arrival,3p_variable_cost,ddu_variable_cost,AMZL_variable_cost,feasible_routes,units_from_shipment_data,cumulative_route_assignment
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.18,not_defined,0,"('r92', 'r383', 'r5262')",5.0,"[('r92', 5)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.23,not_defined,0,"('r47', 'r92', 'r386', 'r4065', 'r5265')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.23,not_defined,0,"('r92', 'r386', 'r5265')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.22,not_defined,0,"('r47', 'r92', 'r387', 'r4066', 'r5266')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.22,not_defined,0,"('r92', 'r387', 'r5266')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.15,not_defined,0,"('r47', 'r92', 'r388', 'r4067', 'r5267')",2.0,"[('r47', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.15,not_defined,0,"('r92', 'r388', 'r5267')",7.0,"[('r92', 7)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.04,not_defined,0,"('r47', 'r92', 'r389', 'r4068', 'r5268')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.04,not_defined,0,"('r92', 'r389', 'r5268')",6.0,"[('r92', 6)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.1,not_defined,0,"('r47', 'r92', 'r390', 'r4069', 'r5269')",2.0,"[('r47', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.1,not_defined,0,"('r92', 'r390', 'r5269')",6.0,"[('r92', 6)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.1,not_defined,0,"('r47', 'r92', 'r391', 'r4070', 'r5270')",2.0,"[('r47', 2)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.1,not_defined,0,"('r92', 'r391', 'r5270')",6.0,"[('r92', 6)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.11,not_defined,0,"('r47', 'r92', 'r392', 'r4071', 'r5271')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.11,not_defined,0,"('r92', 'r392', 'r5271')",0.0,
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.12,not_defined,0,"('r47', 'r92', 'r393', 'r4072', 'r5272')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.12,not_defined,0,"('r92', 'r393', 'r5272')",3.0,"[('r92', 3)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 00:00:00,3.01,not_defined,0,"('r47', 'r92', 'r394', 'r4073', 'r5273')",1.0,"[('r47', 1)]"
BFL1,DPS1,dim1,2021-05-12 23:59:59,2021-05-11 05:00:00,3.01,not_defined,0,"('r92', 'r394', 'r5273')",4.0,"[('r92', 4)]"
