fc,ds,zipcode,dimension,promise,3p_variable_cost,ddu_variable_cost,AMZL_variable_cost,feasible_routes,units,arrival,amzl_optimal_flow,ddu_optimal_flow,3p_optimal_flow,optimal_flows_on_each_route
SMF1,DSD1,92075,dim1,2021-05-12 23:59:59,6.6,not_defined,0,['r31' 'r100' 'r2324' 'r6686' 'r7376'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2324': 0.0, 'r6686': 0.0, 'r7376': 0.0}"
SMF1,DSD1,92075,dim1,2021-05-12 23:59:59,6.6,not_defined,0,['r100' 'r2324' 'r7376'],1.2631625118795233,2021-05-11 05:00:00,1.263162503774986,9.880028683902404e-10,7.1165344761063146e-09,"{'r100': 1.263162503774986, 'r2324': 7.1165344761063146e-09, 'r7376': 9.880028683902404e-10}"
SMF1,DSD1,92078,dim1,2021-05-12 23:59:59,6.56,not_defined,0,['r31' 'r100' 'r2325' 'r6687' 'r7377'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2325': 0.0, 'r6687': 0.0, 'r7377': 0.0}"
SMF1,DSD1,92078,dim1,2021-05-12 23:59:59,6.56,not_defined,0,['r100' 'r2325' 'r7377'],0.6315812559397617,2021-05-11 05:00:00,0.6315812463237149,1.0122959956890666e-09,8.603750475514538e-09,"{'r100': 0.6315812463237149, 'r2325': 8.603750475514538e-09, 'r7377': 1.0122959956890666e-09}"
SMF1,DSD2,92081,dim1,2021-05-12 23:59:59,6.51,not_defined,0,['r32' 'r101' 'r2352' 'r7572' 'r7848'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r32': 0.0, 'r101': 0.0, 'r2352': 0.0, 'r7572': 0.0, 'r7848': 0.0}"
SMF1,DSD2,92081,dim1,2021-05-12 23:59:59,6.51,not_defined,0,['r101' 'r2352' 'r7848'],0.6315812559397617,2021-05-11 05:00:00,0.6315811999294835,1.116178295806615e-09,5.48940991426435e-08,"{'r101': 0.6315811999294835, 'r2352': 5.48940991426435e-08, 'r7848': 1.116178295806615e-09}"
SMF1,DSD2,92083,dim1,2021-05-12 23:59:59,6.49,not_defined,0,['r32' 'r101' 'r2353' 'r7573' 'r7849'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r32': 0.0, 'r101': 0.0, 'r2353': 0.0, 'r7573': 0.0, 'r7849': 0.0}"
SMF1,DSD2,92083,dim1,2021-05-12 23:59:59,6.49,not_defined,0,['r101' 'r2353' 'r7849'],0.0,2021-05-11 05:00:00,0.0,0.0,0.0,"{'r101': 0.0, 'r2353': 0.0, 'r7849': 0.0}"
SMF1,DSD2,92084,dim1,2021-05-12 23:59:59,6.48,not_defined,0,['r32' 'r101' 'r2354' 'r7574' 'r7850'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r32': 0.0, 'r101': 0.0, 'r2354': 0.0, 'r7574': 0.0, 'r7850': 0.0}"
SMF1,DSD2,92084,dim1,2021-05-12 23:59:59,6.48,not_defined,0,['r101' 'r2354' 'r7850'],0.6315812559397617,2021-05-11 05:00:00,0.29025316582744237,1.1393453853917807e-09,0.3413280889729738,"{'r101': 0.29025316582744237, 'r2354': 0.3413280889729738, 'r7850': 1.1393453853917807e-09}"
SMF1,DSD1,92091,dim1,2021-05-12 23:59:59,6.61,not_defined,0,['r31' 'r100' 'r2326' 'r6688' 'r7378'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2326': 0.0, 'r6688': 0.0, 'r7378': 0.0}"
SMF1,DSD1,92091,dim1,2021-05-12 23:59:59,6.61,not_defined,0,['r100' 'r2326' 'r7378'],0.0,2021-05-11 05:00:00,0.0,0.0,0.0,"{'r100': 0.0, 'r2326': 0.0, 'r7378': 0.0}"
SMF1,DSD1,92092,dim1,2021-05-12 23:59:59,6.71,not_defined,0,['r31' 'r100' 'r2327' 'r6689' 'r7379'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2327': 0.0, 'r6689': 0.0, 'r7379': 0.0}"
SMF1,DSD1,92092,dim1,2021-05-12 23:59:59,6.71,not_defined,0,['r100' 'r2327' 'r7379'],0.6315812559397617,2021-05-11 05:00:00,0.6315812502047009,9.114478526968325e-10,4.823613104418665e-09,"{'r100': 0.6315812502047009, 'r2327': 4.823613104418665e-09, 'r7379': 9.114478526968325e-10}"
SMF1,DSD1,92093,dim1,2021-05-12 23:59:59,6.71,not_defined,0,['r31' 'r100' 'r2328' 'r6690' 'r7380'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2328': 0.0, 'r6690': 0.0, 'r7380': 0.0}"
SMF1,DSD1,92093,dim1,2021-05-12 23:59:59,6.71,not_defined,0,['r100' 'r2328' 'r7380'],0.0,2021-05-11 05:00:00,0.0,0.0,0.0,"{'r100': 0.0, 'r2328': 0.0, 'r7380': 0.0}"
SMF1,DSD1,92108,dim1,2021-05-12 23:59:59,6.77,not_defined,0,['r31' 'r100' 'r2329' 'r6691' 'r7381'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2329': 0.0, 'r6691': 0.0, 'r7381': 0.0}"
SMF1,DSD1,92108,dim1,2021-05-12 23:59:59,6.77,not_defined,0,['r100' 'r2329' 'r7381'],3.157906279698808,2021-05-11 05:00:00,3.157906274699634,8.965613500405778e-10,4.102603465520516e-09,"{'r100': 3.157906274699634, 'r2329': 4.102603465520516e-09, 'r7381': 8.965613500405778e-10}"
SMF1,DSD1,92111,dim1,2021-05-12 23:59:59,6.74,not_defined,0,['r31' 'r100' 'r2330' 'r6692' 'r7382'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r31': 0.0, 'r100': 0.0, 'r2330': 0.0, 'r6692': 0.0, 'r7382': 0.0}"
SMF1,DSD1,92111,dim1,2021-05-12 23:59:59,6.74,not_defined,0,['r100' 'r2330' 'r7382'],3.78948753563857,2021-05-11 05:00:00,3.7894875302931097,9.114477245596569e-10,4.433987160406048e-09,"{'r100': 3.7894875302931097, 'r2330': 4.433987160406048e-09, 'r7382': 9.114477245596569e-10}"
