origin,destination,type,cpt,hard_or_soft,incremental_cost,index,cap,target,sigma,penalty_cost_coefficient,dual,excess_flow,optimal_flow,remaining_cap
OAK4,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,5.36,j94,146,116.8,14.600000000000001,0.07324109589041096,3.409999999907968,46.55856057930681,163.35856057929882,146
LGB6,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,2.53,j24,15,12.0,1.5,0.33648999999999996,0.0,0.0,2.999833333955185,15
ONT2,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,2.57,j95,119,95.2,11.9,0.04308529411764706,0.3600000001127136,8.355519150751773,103.55551915068243,119
ONT6,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,2.56,j96,269,215.2,26.900000000000002,0.018985873605947955,0.3700000014828101,19.488173637067128,234.68817363700424,269
PSP1,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,2.64,j98,908,726.4,90.80000000000001,0.005800440528634361,0.5000000000004219,86.200349358368,812.6003493583172,908
BFL1,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,3.36,j55,564,451.2,56.400000000000006,0.011885106382978723,1.0900002050032087,91.71143865944188,542.9114386650867,564
LGB3,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,2.48,j17,337,269.6,33.7,0.014681305637982195,2.218413595816956e-12,0.0028509414198745423,249.3599761799847,337
FAT1,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,4.26,j62,536,428.8,53.6,0.015855783582089552,1.9900002055173713,125.50626685933399,554.306266880322,536
TUS2,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,6.29,j47,105,84.0,10.5,0.11951,3.8999997991090614,32.633250766545395,116.63325076652926,105
OAK4,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,5.36,j41,37,29.6,3.7,0.2890054054054054,3.0050139840659007,10.397777784996945,39.997777784981146,37
SMF1,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,5.93,j46,76,60.8,7.6000000000000005,0.1556625,3.4399999985997187,22.0990925791432,82.89909257912689,76
PSP1,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,2.64,j45,227,181.6,22.700000000000003,0.023201762114537443,0.49999999979602044,21.550087330820645,203.15008733076706,227
LAS7,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,4.36,j64,518,414.4,51.800000000000004,0.016791891891891893,1.680000002428404,100.04828599687818,514.4482859969903,518
ONT6,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,2.56,j43,67,53.6,6.7,0.0762268656716418,0.37000000003131767,4.853931704740644,58.45393170467145,67
ONT2,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,2.57,j42,30,24.0,3.0,0.170905,0.33000000594326195,1.9308973169698482,25.930897316887865,30
